frames_to_process,split_no,flops,total_processing_time,single_frame_time,left_output_size,avg_consec_inference_gap,total_left_model_time,total_right_model_time
30,0,0.0,23.965891,0.7988630333333333,150528,0.7377937586206896,0.760028,0
30,0,0.0,23.966889,0.7988962999999999,150528,0.6248843448275861,0.746021,0
30,0,0.0,22.815715,0.7605238333333334,150528,0.6926164827586208,0.747814,0
30,0,0.0,22.817739,0.7605913,150528,0.7309758620689656,0.734815,0
40,0,0.0,30.016467,0.750411675,150528,0.6860053333333334,1.003794,0
40,0,0.0,30.017467,0.750436675,150528,0.7011029487179488,1.007793,0
50,0,0.0,37.927606,0.7585521199999999,150528,0.7363515714285714,1.2293,0
50,0,0.0,37.929599,0.75859198,150528,0.7251415306122448,1.216289,0
